payer,payee,amount0,amount1,opcode
72,506,30552,381,1
56,850,29493,388,1
44,677,84393,312,1
368,635,27293,371,1
14,272,69730,107,1
44,26,44809,348,1
33,538,96610,21,1
42,894,64885,25,1
65,960,98010,352,1
98,929,89298,484,1
33,509,44173,199,1
419,109,34773,299,1
23,685,88038,43,1
21,254,55487,85,1
0,540,85594,192,1
312,869,33836,177,1
33,477,41543,29,1
27,402,60330,439,1
33,324,87785,67,1
12,262,67869,96,1
14,910,84904,374,1
664,100,44407,299,1
27,639,37437,65,1
44,848,7700,282,1
27,528,32290,146,1
8,256,1249,23,1
292,1020,61099,380,1
6,13,42351,359,1
36,72,60212,368,1
699,131,23826,279,1
23,57,79391,159,1
33,387,764,235,1
65,80,41806,94,1
16,2,51773,391,1
0,331,3074,354,1
12,825,10293,142,1
23,912,73958,260,1
44,820,17373,315,1
4,643,72188,229,1
0,70,15555,79,1
702,554,84657,324,1
27,886,82171,490,1
413,964,8761,163,1
161,1013,86969,272,1
573,175,6333,404,1
161,106,58089,174,1
4,688,69735,267,1
23,319,10953,402,1
65,250,59214,313,1
14,119,77170,419,1
42,118,54891,128,1
30,53,96224,257,1
6,520,31325,341,1
161,429,38534,424,1
33,492,32482,67,1
56,509,10123,360,1
6,221,2839,121,1
36,98,91092,309,1
797,870,93427,375,1
27,48,54346,424,1
21,303,51486,25,1
44,736,1365,231,1
27,452,30507,274,1
8,294,56343,379,1
33,209,83238,292,1
8,85,38876,440,1
4,737,8022,125,1
467,121,74284,92,1
377,311,36269,109,1
56,429,55717,283,1
4,994,6808,50,1
4,767,56478,222,1
492,911,25628,283,1
72,233,71582,43,1
14,721,76721,60,1
27,771,6655,306,1
16,1013,70999,431,1
42,172,21078,64,1
16,552,64419,493,1
65,383,32502,291,1
21,889,28751,440,1
21,92,12050,42,1
27,742,79493,436,1
16,499,18243,444,1
12,249,13529,134,1
8,11,8405,366,1
908,1012,99611,214,1
4,38,65183,109,1
33,907,19969,419,1
23,951,49626,227,1
638,618,81400,339,1
33,208,24442,487,1
27,113,37309,347,1
161,662,75284,65,1
1010,186,74668,382,1
65,510,91283,321,1
492,817,39911,319,1
36,599,17133,484,1
65,823,56642,208,1
36,56,82827,214,1
72,33,54825,207,1
27,949,69670,263,1
30,1023,64559,303,1
67,939,54298,477,1
161,272,46525,465,1
6,625,17123,187,1
613,495,3186,27,1
602,974,69184,461,1
27,959,32056,257,1
410,124,86541,346,1
23,829,27671,282,1
56,998,71839,181,1
12,436,29001,383,1
934,892,69905,212,1
629,328,40477,136,1
65,223,90732,386,1
72,462,71185,433,1
21,555,82104,500,1
27,41,76370,450,1
42,1020,4434,291,1
760,127,27935,303,1
720,507,26093,214,1
33,750,47189,116,1
33,405,7462,150,1
16,451,29979,314,1
56,634,22642,303,1
14,619,6752,13,1
21,543,27387,290,1
33,467,59876,405,1
0,19,46765,129,1
56,816,94590,270,1
14,312,34534,452,1
23,258,10996,152,1
16,287,66435,217,1
0,1023,61386,24,1
150,31,40653,16,1
4,855,32430,19,1
33,849,31613,64,1
12,867,99663,428,1
44,1017,51667,190,1
27,344,65509,52,1
868,838,10445,327,1
21,992,77699,153,1
19,650,25048,319,1
23,513,25143,208,1
6,983,42170,383,1
305,515,43709,305,1
12,193,62423,221,1
72,756,44238,323,1
30,422,95217,102,1
545,443,11034,93,1
12,19,22692,227,1
12,457,36576,85,1
42,963,214,149,1
12,179,72405,223,1
665,795,55111,286,1
36,128,94587,233,1
56,997,89965,476,1
72,995,64912,114,1
14,489,12260,428,1
8,511,90454,28,1
27,644,80324,286,1
161,874,37903,257,1
33,256,85043,278,1
155,947,97732,66,1
36,819,56066,364,1
4,836,77688,218,1
8,545,76411,138,1
4,157,94930,72,1
4,631,35277,454,1
6,591,31004,451,1
16,186,34239,499,1
44,249,7158,214,1
36,905,28151,327,1
42,922,97342,477,1
72,767,83482,69,1
30,114,76639,56,1
72,988,42701,422,1
30,1007,66587,238,1
30,741,57865,375,1
56,787,50648,477,1
56,482,25925,232,1
314,245,84586,467,1
12,267,2251,200,1
161,448,23907,232,1
102,551,27158,459,1
327,67,75284,30,1
21,188,70113,335,1
445,427,66213,372,1
8,860,27429,436,1
6,528,91507,490,1
36,979,45127,244,1
56,588,40144,237,1
16,192,29010,155,1
151,794,64014,202,1
33,604,79764,143,1
14,155,7495,360,1
65,288,65566,451,1
44,3,5753,161,1
44,613,38500,417,1
19,921,72561,70,1
56,402,64693,71,1
33,108,519,68,1
6,276,33555,147,1
727,177,87707,299,1
1007,275,89363,60,1
0,416,78861,219,1
65,502,36989,147,1
36,685,55952,475,1
400,36,7430,205,1
161,995,24917,400,1
44,1,16224,215,1
6,964,78066,379,1
16,157,77584,14,1
14,296,3035,82,1
36,712,67482,148,1
8,791,89047,423,1
30,247,46109,481,1
56,150,91844,120,1
0,238,13135,88,1
16,1013,74967,20,1
65,480,11833,158,1
65,686,49677,70,1
643,665,19283,245,1
6,255,43068,329,1
72,711,42888,435,1
345,2,40887,75,1
19,112,3068,153,1
12,985,10137,192,1
492,968,30063,143,1
12,237,15415,47,1
14,584,81674,196,1
447,213,58142,210,1
417,958,84308,253,1
21,139,87486,239,1
6,57,72320,102,1
65,8,43394,425,1
30,938,4576,160,1
16,214,43281,194,1
33,777,81682,208,1
33,918,26214,478,1
30,698,80813,269,1
33,200,19023,413,1
21,345,14291,207,1
21,641,47728,116,1
16,536,37441,233,1
16,58,78890,137,1
771,213,9293,131,1
629,737,2273,421,1
14,942,23393,107,1
44,270,71407,267,1
56,656,45839,467,1
44,645,80313,226,1
794,983,24902,115,1
21,706,66111,179,1
65,440,66051,129,1
21,546,64343,425,1
8,918,64045,337,1
8,681,55583,14,1
294,7,45332,272,1
886,827,80339,94,1
8,53,19003,149,1
56,683,35400,425,1
19,422,16293,474,1
23,539,569,304,1
557,860,4812,68,1
33,707,28775,76,1
23,628,36574,199,1
21,711,56527,340,1
44,125,68346,328,1
633,661,83997,135,1
796,653,34877,23,1
4,852,4204,416,1
12,885,33178,183,1
21,650,63407,86,1
34,570,38724,352,1
480,859,49254,423,1
146,561,96478,380,1
36,458,76161,192,1
814,317,4149,246,1
6,370,99480,141,1
262,553,95080,279,1
72,863,67942,336,1
827,830,4160,313,1
72,904,60448,101,1
36,976,32679,310,1
44,1021,7737,14,1
27,759,9726,343,1
19,379,38096,19,1
114,38,24282,462,1
19,221,51192,80,1
161,294,16774,174,1
16,405,45428,416,1
21,974,76793,88,1
30,976,84813,228,1
121,844,21312,165,1
6,744,53221,91,1
6,595,94264,60,1
56,1008,82255,337,1
8,645,56365,158,1
464,753,95954,40,1
119,521,48323,252,1
44,602,40439,249,1
36,738,65125,114,1
23,258,96416,112,1
42,445,50616,277,1
14,216,17718,18,1
0,712,41673,418,1
6,615,87459,461,1
12,742,41269,17,1
14,645,42317,334,1
72,502,69946,305,1
14,69,65082,83,1
30,1004,36740,30,1
8,342,99410,450,1
44,92,96270,413,1
16,260,40130,368,1
0,756,7224,346,1
4,957,7002,200,1
466,861,7165,301,1
19,567,74677,456,1
27,925,61601,337,1
19,462,49505,158,1
877,996,88395,131,1
72,389,54888,469,1
6,675,93399,19,1
44,551,40406,420,1
42,1020,4006,44,1
8,329,46625,134,1
4,293,19180,29,1
132,287,27138,140,1
161,66,75015,485,1
12,154,56982,274,1
6,425,74273,404,1
6,307,31149,412,1
665,319,30294,101,1
30,940,51223,210,1
33,859,97562,240,1
8,741,9595,412,1
8,792,83582,225,1
12,622,54320,256,1
65,972,61732,236,1
33,138,11675,227,1
65,1010,11610,148,1
30,727,92462,209,1
72,918,9752,428,1
33,244,13537,273,1
56,367,40837,108,1
120,978,28521,355,1
14,571,38432,285,1
19,1017,77363,394,1
27,275,38191,319,1
23,93,25218,292,1
8,878,34570,287,1
21,925,91708,65,1
110,4,95882,230,1
42,722,36595,231,1
19,213,11490,389,1
30,749,88241,70,1
265,713,58970,160,1
72,1001,1910,319,1
33,769,83270,297,1
161,731,19170,27,1
16,653,11380,454,1
19,858,74807,47,1
33,715,82727,342,1
504,667,28989,450,1
862,391,97446,78,1
33,380,38413,147,1
161,818,368,249,1
877,595,9282,476,1
449,322,64235,174,1
36,341,75825,279,1
30,107,89640,289,1
6,19,82685,11,1
6,321,39593,411,1
33,946,49590,350,1
42,993,32946,134,1
0,109,74688,110,1
30,21,73304,131,1
12,771,39782,417,1
21,328,56855,288,1
626,696,73369,292,1
21,1000,51828,455,1
12,931,18638,228,1
6,356,74131,419,1
8,922,52588,216,1
873,943,22166,379,1
15,78,67837,343,1
8,1002,30789,148,1
385,988,66229,459,1
374,483,73320,266,1
30,958,31483,384,1
72,823,65081,472,1
16,497,60678,312,1
14,634,48016,486,1
16,882,26160,429,1
27,936,92172,357,1
0,892,78249,18,1
113,944,74246,324,1
16,350,16218,205,1
27,457,29575,328,1
72,469,90713,340,1
36,8,97987,117,1
30,994,45782,395,1
36,24,89695,180,1
603,1016,2034,382,1
12,295,74563,258,1
72,826,79423,364,1
47,866,27978,291,1
19,536,2584,322,1
161,6,47187,315,1
8,170,73993,145,1
21,632,89109,133,1
4,1019,69913,13,1
84,841,89311,163,1
569,60,6903,325,1
14,474,83489,85,1
6,829,33213,252,1
6,450,51652,370,1
65,134,32380,446,1
6,775,13828,483,1
23,323,34706,337,1
8,223,96866,364,1
27,961,89642,208,1
65,80,79774,424,1
0,507,2179,270,1
19,932,94514,291,1
161,137,77263,484,1
42,131,67970,352,1
6,976,63967,224,1
27,677,22141,464,1
36,384,19229,358,1
0,34,44673,368,1
56,713,40316,281,1
795,793,67036,18,1
56,300,41134,146,1
36,411,95701,337,1
23,307,45712,12,1
33,554,33327,217,1
30,98,58336,64,1
624,908,37078,64,1
14,327,63494,129,1
6,137,99449,266,1
1004,25,67933,345,1
36,79,37119,198,1
164,360,40808,353,1
65,374,80387,347,1
4,19,4714,468,1
44,715,95506,331,1
161,998,67663,332,1
42,62,77433,239,1
161,526,94595,54,1
21,498,38914,463,1
44,363,89268,11,1
30,757,16741,160,1
161,1003,54111,270,1
36,633,91117,48,1
56,88,47957,285,1
411,193,61060,359,1
8,1001,88502,281,1
19,692,18369,329,1
206,407,19087,189,1
33,446,86813,245,1
27,820,63302,441,1
12,826,52431,278,1
30,180,58004,182,1
19,675,34161,334,1
30,476,24792,371,1
14,948,65121,154,1
12,31,22993,267,1
42,165,81774,85,1
963,66,77028,264,1
27,817,17787,463,1
14,336,51781,111,1
42,169,42960,296,1
685,459,29031,119,1
72,456,68581,100,1
36,70,4911,68,1
30,238,22608,113,1
4,94,95697,265,1
4,520,30253,123,1
8,329,79727,326,1
19,615,12716,178,1
301,191,40044,477,1
177,938,53451,316,1
23,779,53575,138,1
27,643,21629,471,1
0,993,96035,216,1
82,294,19989,181,1
6,31,85954,419,1
4,776,56251,414,1
42,602,71868,473,1
19,1009,6564,43,1
4,740,58686,457,1
16,690,21463,447,1
659,25,13239,349,1
4,195,54453,445,1
408,754,91448,114,1
30,812,7291,105,1
33,453,34070,326,1
14,558,917,448,1
33,695,91321,398,1
12,470,8614,424,1
65,987,60525,100,1
30,20,13692,452,1
8,673,91825,227,1
56,151,80093,220,1
30,35,87394,181,1
965,303,82693,273,1
4,291,61044,349,1
19,694,16815,139,1
245,93,85284,165,1
144,59,39517,52,1
16,356,99319,13,1
27,431,51645,227,1
72,658,20018,161,1
44,930,42476,341,1
21,506,30396,405,1
56,410,12116,51,1
101,665,12852,436,1
56,838,62929,274,1
36,465,95967,280,1
12,345,48153,383,1
21,325,48301,418,1
72,757,46445,192,1
0,203,84514,393,1
161,246,32328,473,1
16,533,48032,64,1
16,316,55014,366,1
161,882,30451,378,1
19,133,54918,208,1
109,504,1599,79,1
30,855,63447,424,1
161,670,66119,325,1
16,915,67245,219,1
414,641,99082,57,1
72,514,12924,138,1
14,153,60034,173,1
346,1007,19920,212,1
27,241,88956,265,1
958,445,43507,372,1
74,360,60437,412,1
30,299,8188,197,1
21,3,39480,480,1
738,999,73631,256,1
6,856,16786,321,1
56,912,30488,61,1
36,282,10496,476,1
31,238,46083,295,1
65,289,82022,112,1
161,525,9243,153,1
16,929,47503,299,1
66,390,17603,430,1
19,145,25457,13,1
0,855,8431,26,1
21,66,77312,224,1
12,330,69795,445,1
19,4,75399,106,1
16,193,88139,357,1
56,78,69245,267,1
640,151,72804,344,1
9,553,72277,388,1
56,743,18849,464,1
746,227,63468,389,1
6,795,55241,145,1
30,659,1621,190,1
203,602,62588,225,1
56,930,10381,123,1
21,1004,42518,404,1
27,855,89565,271,1
27,713,86493,17,1
0,14,62204,484,1
16,419,78172,149,1
36,250,48174,194,1
14,535,68650,217,1
0,934,73655,110,1
72,799,64290,486,1
14,908,16941,300,1
628,93,66838,268,1
44,849,78547,296,1
914,111,69529,293,1
56,483,4667,137,1
8,669,15298,426,1
36,772,20754,322,1
161,180,4105,11,1
21,57,22304,426,1
976,175,68014,178,1
14,827,42971,215,1
44,780,76717,144,1
897,647,99743,130,1
36,709,32667,127,1
33,522,79009,353,1
14,828,35092,32,1
21,811,76435,111,1
16,978,74077,158,1
65,614,39270,138,1
19,550,36644,61,1
65,826,22982,135,1
65,777,10062,247,1
16,349,68500,105,1
36,753,26058,13,1
56,392,33837,265,1
0,498,72000,224,1
65,679,43856,326,1
65,265,48701,328,1
33,1003,61164,464,1
6,795,74717,79,1
42,908,11992,310,1
16,750,9295,437,1
56,325,59813,71,1
42,266,71517,106,1
884,525,61584,83,1
0,318,52872,400,1
65,775,9474,304,1
961,509,56579,423,1
746,817,92661,167,1
0,786,82512,132,1
16,828,89880,275,1
324,322,55466,321,1
33,411,20488,267,1
30,712,84638,102,1
8,410,3619,476,1
36,790,22842,250,1
19,84,46291,245,1
638,962,36022,105,1
8,156,65219,344,1
23,487,5542,191,1
21,498,47177,62,1
161,230,56824,286,1
192,207,90013,219,1
0,767,90525,378,1
56,366,95712,493,1
72,929,64728,396,1
36,550,61665,482,1
36,785,21294,423,1
0,56,3813,315,1
678,961,15918,194,1
23,3,6686,170,1
65,35,11663,491,1
14,450,90512,77,1
4,349,71436,362,1
65,221,84433,416,1
161,420,4639,61,1
42,908,91035,445,1
23,896,58444,340,1
772,419,22696,245,1
36,661,92319,439,1
4,870,34666,374,1
16,340,18282,318,1
814,46,12603,101,1
273,84,71919,446,1
710,116,55569,191,1
14,670,9706,439,1
65,234,59827,185,1
14,361,84865,137,1
517,416,2086,174,1
42,640,36222,348,1
21,930,10538,450,1
16,290,49745,451,1
33,428,37033,248,1
14,248,6633,168,1
6,914,54330,255,1
14,0,36858,235,1
161,752,40490,258,1
65,207,15465,158,1
19,970,74249,332,1
42,642,94334,98,1
19,776,15412,408,1
8,887,98522,10,1
44,658,96540,68,1
27,575,28953,483,1
36,431,17071,54,1
399,950,91601,265,1
19,185,63160,336,1
33,576,57333,406,1
33,784,98695,333,1
8,77,15474,73,1
12,215,61456,390,1
12,280,16138,63,1
6,367,4094,232,1
12,115,77552,148,1
938,887,224,21,1
65,192,84079,27,1
72,639,27106,137,1
19,376,5729,488,1
8,670,43442,303,1
12,165,162,230,1
8,103,33480,283,1
144,884,20721,52,1
454,130,62121,397,1
710,641,66603,124,1
42,491,82170,490,1
161,106,32988,75,1
12,895,33189,252,1
65,105,46427,475,1
886,381,77716,445,1
44,920,54573,222,1
42,69,26815,480,1
16,834,66753,83,1
12,409,26170,276,1
14,230,28023,315,1
0,854,91186,136,1
0,857,68380,123,1
148,709,12167,398,1
0,104,56073,368,1
565,481,7733,98,1
72,767,82697,190,1
14,10,91084,365,1
4,803,51503,441,1
19,139,97993,438,1
30,123,46227,308,1
14,927,63036,376,1
72,224,99157,102,1
8,316,23179,117,1
8,846,7795,288,1
525,668,68942,462,1
12,197,28388,336,1
16,983,13379,71,1
56,382,71634,200,1
44,872,32641,208,1
535,143,21284,391,1
0,650,31056,177,1
273,686,51192,265,1
44,361,78581,72,1
835,134,82092,291,1
72,645,10035,297,1
72,275,63446,493,1
0,612,16585,365,1
42,912,85103,347,1
984,800,97394,383,1
161,503,95731,344,1
26,3,21961,178,1
659,110,82977,121,1
435,462,33514,437,1
161,346,63431,256,1
19,1000,6159,151,1
36,71,58894,354,1
437,872,19861,446,1
21,106,28802,16,1
72,436,50059,265,1
14,197,85063,299,1
14,843,22272,203,1
23,440,94156,309,1
65,268,78440,349,1
433,185,4179,235,1
19,908,27354,126,1
42,125,18720,441,1
610,177,71811,145,1
72,576,70784,349,1
33,987,40444,310,1
16,57,47244,29,1
27,238,80980,153,1
65,816,57385,101,1
8,63,53259,134,1
23,258,71805,442,1
6,357,18545,434,1
4,174,26792,47,1
12,956,21582,398,1
385,713,24579,390,1
19,165,33342,365,1
42,611,14364,31,1
44,51,63204,273,1
161,705,50846,289,1
111,1016,54090,80,1
244,1012,51832,115,1
4,878,42535,422,1
23,981,82809,105,1
42,297,75492,495,1
6,193,3914,329,1
161,427,69111,165,1
171,351,11826,275,1
44,511,45763,21,1
21,886,57926,55,1
902,629,11338,129,1
16,940,73452,472,1
27,218,90721,25,1
27,876,14260,66,1
161,103,68790,21,1
262,102,6709,420,1
715,283,18825,124,1
42,456,80862,244,1
0,915,33143,232,1
33,850,32237,355,1
4,52,41791,53,1
56,864,82558,452,1
42,108,25318,41,1
14,372,47096,493,1
73,195,44781,13,1
30,44,90322,25,1
56,1021,34518,153,1
12,109,18360,84,1
4,251,50431,399,1
4,554,84771,224,1
42,406,61386,499,1
4,974,69315,465,1
33,266,9997,59,1
759,789,89918,308,1
44,967,70536,309,1
44,34,71098,486,1
42,328,49406,226,1
33,256,31370,436,1
23,959,67234,74,1
161,170,64071,421,1
42,61,27272,54,1
27,235,28967,172,1
876,450,78738,485,1
33,705,55389,286,1
33,426,34690,371,1
344,148,22164,435,1
27,313,90335,180,1
27,644,89407,173,1
27,401,1743,22,1
6,858,11856,280,1
568,610,61031,68,1
161,233,15875,175,1
16,802,81982,291,1
161,548,92259,295,1
44,205,76977,277,1
0,159,80050,146,1
6,773,7563,182,1
905,516,33062,36,1
27,201,27449,152,1
0,270,54026,447,1
23,493,96387,351,1
161,480,85783,357,1
27,225,53656,382,1
16,69,54584,484,1
16,1005,20534,86,1
0,319,22212,280,1
27,766,26288,100,1
16,798,68746,319,1
16,152,31173,78,1
539,407,91707,12,1
23,774,26992,89,1
939,695,73845,271,1
4,158,27273,114,1
33,585,61648,106,1
23,221,38998,164,1
19,721,55530,13,1
6,69,56737,491,1
27,139,82895,403,1
626,693,17442,222,1
65,806,99002,92,1
23,948,21291,393,1
44,320,65963,291,1
65,1000,72945,322,1
12,18,57114,215,1
16,746,41124,343,1
44,915,25989,345,1
860,130,73863,247,1
33,474,60060,194,1
27,214,70805,123,1
30,1006,41984,296,1
350,626,70595,395,1
36,252,38869,270,1
694,451,97010,277,1
336,86,27847,224,1
16,811,21821,446,1
27,376,21340,86,1
23,640,22860,441,1
8,481,74570,95,1
33,842,14031,14,1
16,857,53065,420,1
175,68,79989,212,1
33,912,78543,490,1
21,170,9008,253,1
12,896,77071,369,1
16,744,77741,88,1
755,329,63700,49,1
42,686,55075,53,1
42,823,60022,38,1
950,411,68041,285,1
907,478,34407,363,1
161,164,94179,460,1
843,981,51175,72,1
30,139,16771,383,1
804,876,54845,322,1
8,756,88805,14,1
4,98,39966,239,1
6,564,38491,48,1
4,355,56551,499,1
72,955,48414,143,1
19,509,8073,235,1
65,648,59405,169,1
0,61,30417,96,1
0,814,14781,16,1
8,409,19400,308,1
19,462,93285,82,1
4,493,87303,368,1
161,142,39517,143,1
33,825,53795,267,1
12,505,69711,193,1
358,714,93964,491,1
23,702,72385,164,1
72,512,2949,259,1
36,96,98873,443,1
19,110,99792,468,1
515,664,84784,166,1
605,75,17083,241,1
56,921,77774,339,1
27,541,51373,445,1
23,2,72140,191,1
23,967,69839,276,1
36,989,21579,487,1
36,206,66454,139,1
8,527,32623,90,1
44,293,78788,209,1
8,900,37428,86,1
186,247,21735,208,1
27,496,1882,366,1
14,409,93588,495,1
27,500,71059,446,1
14,830,33392,70,1
27,921,85451,279,1
14,468,62702,227,1
19,544,35152,406,1
8,756,59723,112,1
4,637,86387,295,1
44,793,36887,364,1
33,74,4725,25,1
56,559,91198,78,1
16,0,94851,27,1
44,782,48928,442,1
161,561,64986,170,1
33,231,45198,128,1
65,662,88752,277,1
33,688,55290,298,1
30,171,91353,40,1
72,813,36434,161,1
23,527,863,165,1
33,585,54831,349,1
44,382,90374,459,1
12,927,46429,309,1
4,590,68841,442,1
6,977,37981,151,1
6,189,31342,224,1
667,23,42271,437,1
757,241,74842,34,1
33,245,30103,82,1
33,849,80917,458,1
30,937,72645,412,1
161,399,50842,87,1
19,556,29665,360,1
44,159,13536,313,1
14,706,79042,266,1
33,167,62450,223,1
0,117,64650,41,1
42,248,58409,344,1
680,832,20545,87,1
36,796,62967,185,1
19,478,12035,164,1
19,57,73353,455,1
56,459,24379,199,1
198,118,56246,442,1
56,580,91483,135,1
8,306,68428,144,1
16,495,65986,478,1
72,653,50475,493,1
245,970,52436,43,1
194,812,53235,244,1
8,19,38958,342,1
161,940,78134,180,1
14,36,83897,371,1
4,320,33664,61,1
525,656,42832,31,1
161,14,41354,42,1
4,810,5146,127,1
14,818,98334,96,1
65,117,177,231,1
6,709,26127,222,1
36,614,90045,25,1
72,874,67922,175,1
21,134,30898,341,1
33,1022,79547,385,1
27,1001,11541,180,1
227,271,79643,402,1
420,497,27597,359,1
21,538,21779,77,1
896,3,31881,229,1
161,918,70750,348,1
30,965,64154,468,1
16,93,81311,279,1
19,390,84921,250,1
65,718,74409,492,1
44,422,12075,209,1
33,756,19716,340,1
8,624,60402,149,1
33,827,52279,441,1
14,123,65939,421,1
44,354,60394,181,1
411,304,64149,242,1
18,232,66513,128,1
4,13,18475,309,1
12,870,10097,98,1
21,607,20584,285,1
36,42,57762,133,1
56,115,11915,33,1
194,409,64389,312,1
8,899,64491,48,1
279,457,19909,97,1
72,806,88187,378,1
30,694,33931,172,1
42,252,49750,93,1
42,227,60543,149,1
33,86,83087,251,1
19,515,75415,435,1
56,702,91264,432,1
4,92,41100,326,1
0,147,58397,22,1
940,978,74826,283,1
570,787,12882,462,1
56,313,29746,324,1
14,570,83178,413,1
14,277,77677,399,1
44,316,1097,321,1
16,904,92047,22,1
42,838,25373,200,1
44,789,90308,474,1
33,635,44344,207,1
16,102,37105,208,1
14,443,89066,32,1
8,738,49423,217,1
14,377,2252,56,1
707,741,13424,383,1
8,507,67492,100,1
12,958,60098,21,1
16,752,35754,318,1
44,1022,14164,89,1
161,397,4892,474,1
12,955,88773,453,1
1023,837,77341,203,1
44,369,93882,94,1
44,18,46783,151,1
72,97,32087,86,1
161,485,19140,443,1
72,110,21521,18,1
36,670,37605,201,1
23,314,15683,404,1
6,652,43557,78,1
401,299,22554,71,1
30,1020,55009,409,1
0,362,7722,36,1
33,214,89255,39,1
19,281,12900,271,1
4,69,47071,374,1
12,73,65248,14,1
65,622,39138,315,1
857,979,8805,320,1
4,374,32833,348,1
19,559,91007,34,1
27,205,5078,236,1
14,453,31571,432,1
14,495,17175,264,1
4,928,17473,69,1
27,418,50574,97,1
6,612,87442,142,1
30,935,78137,263,1
257,284,82462,424,1
0,708,96067,361,1
4,166,32096,379,1
265,422,335,248,1
30,381,99906,307,1
44,861,88616,241,1
161,182,2629,186,1
21,717,21131,476,1
19,744,94327,235,1
846,556,73368,11,1
65,622,57656,294,1
33,757,46651,260,1
56,410,18576,466,1
12,510,58025,375,1
42,733,82896,404,1
44,475,75271,393,1
161,465,53750,345,1
12,47,15780,394,1
12,952,97180,230,1
161,646,25078,65,1
33,694,94466,116,1
19,260,60748,37,1
489,547,68646,429,1
42,383,85826,225,1
252,359,22057,233,1
465,117,30529,223,1
12,936,87635,149,1
728,469,27521,92,1
30,26,90207,329,1
161,716,4783,34,1
0,697,30259,322,1
21,344,37073,290,1
12,116,89357,362,1
161,892,43187,321,1
33,314,90052,251,1
4,486,15225,83,1
27,498,17117,107,1
636,699,83548,32,1
23,362,88165,424,1
876,689,99031,323,1
0,328,87115,238,1
21,212,4016,376,1
161,498,32834,374,1
65,599,25744,311,1
42,301,59151,471,1
8,770,42389,274,1
474,6,48321,153,1
65,932,49658,415,1
44,894,25470,115,1
0,549,14738,202,1
21,987,93161,172,1
6,694,17488,398,1
16,1022,87399,377,1
33,268,2808,318,1
161,713,33268,163,1
970,300,91358,168,1
27,105,46949,170,1
72,3,64108,54,1
993,853,61190,500,1
52,582,49209,350,1
872,298,907,51,1
4,323,16640,457,1
16,730,47498,304,1
23,312,2840,177,1
33,798,79668,339,1
778,110,12401,128,1
0,207,91527,409,1
36,462,70235,438,1
16,508,55079,16,1
19,636,96984,245,1
0,625,14695,124,1
30,949,15511,248,1
14,805,9195,273,1
12,167,69777,32,1
8,129,2703,80,1
8,748,65089,316,1
12,139,54245,342,1
962,852,79025,430,1
161,101,49559,98,1
584,451,96227,448,1
968,583,57541,487,1
30,648,73974,30,1
14,486,90370,121,1
21,781,75089,487,1
21,732,11648,134,1
8,859,82231,25,1
42,997,55563,79,1
14,134,98683,348,1
72,129,24727,271,1
8,231,37561,312,1
14,667,10337,475,1
224,368,64920,317,1
161,440,49328,213,1
14,257,85414,229,1
42,792,16123,230,1
19,508,61707,14,1
966,94,91212,21,1
33,296,6928,308,1
42,915,28792,113,1
0,700,53109,197,1
42,831,84914,422,1
14,284,56659,78,1
8,689,51491,21,1
72,928,39536,391,1
33,144,45860,247,1
161,846,26499,438,1
163,941,61981,26,1
33,494,99259,165,1
77,660,9646,288,1
56,965,67402,313,1
30,373,24709,320,1
14,744,53973,19,1
27,489,7870,436,1
804,283,40792,61,1
463,998,44755,437,1
4,538,10049,142,1
44,326,2235,93,1
30,193,30208,325,1
1011,177,56982,392,1
27,79,54491,361,1
65,300,47443,305,1
808,750,22086,314,1
36,431,89358,458,1
268,101,77679,169,1
56,724,47496,444,1
203,89,98608,420,1
72,738,52117,22,1
27,76,8681,275,1
940,986,1043,218,1
4,854,70478,399,1
8,306,90227,362,1
911,395,49181,276,1
19,753,33862,190,1
65,720,97498,186,1
398,587,56528,45,1
6,615,654,198,1
56,272,92904,59,1
27,722,2303,391,1
14,762,80062,121,1
8,888,78909,411,1
87,319,40827,207,1
14,298,46880,357,1
564,1018,29790,189,1
161,455,90884,106,1
42,761,45158,38,1
785,727,57482,34,1
50,47,19105,454,1
30,352,83571,171,1
36,92,6734,363,1
30,181,20518,29,1
27,276,56208,241,1
42,80,92952,127,1
23,101,560,74,1
27,56,51193,280,1
30,411,91475,190,1
21,915,60024,259,1
21,529,2796,247,1
72,633,14204,430,1
44,637,46490,54,1
21,769,5275,444,1
161,433,68401,230,1
603,1014,7198,200,1
56,185,86356,461,1
914,481,47134,336,1
44,843,99910,321,1
863,691,47259,253,1
122,798,13101,388,1
450,79,81083,313,1
30,727,9935,289,1
269,117,50982,460,1
6,895,19754,466,1
21,977,84430,223,1
21,805,90515,396,1
42,320,82446,311,1
65,989,24979,74,1
420,421,75874,352,1
19,287,93162,437,1
12,624,94112,280,1
72,581,73365,201,1
4,460,45753,162,1
23,9,96584,256,1
65,363,89235,40,1
965,539,29089,423,1
65,954,15585,397,1
42,595,96943,467,1
235,787,76710,150,1
56,622,58287,439,1
0,785,48766,302,1
14,662,63163,377,1
8,39,2029,375,1
30,483,63588,15,1
6,911,20231,33,1
19,142,12347,330,1
42,89,79601,176,1
19,342,88460,371,1
56,251,14881,491,1
27,691,8203,363,1
72,578,57834,256,1
19,495,22241,256,1
161,11,81513,480,1
42,751,55823,495,1
36,299,75771,175,1
348,414,55389,107,1
44,227,88919,74,1
23,61,1528,479,1
6,431,89462,200,1
16,847,82095,424,1
16,830,16110,379,1
8,700,32490,112,1
6,776,24723,381,1
